200001,Maria's Diary (Plus S.),Mark P. O. Morford,?ditions 24 heures,5991
200002,Standing in the Shadows,Richard Bruce Wright,Osprey Publishing (UK),2900
200003,Children of the Thunder,Carlo D'Este,Strider Nolan Publishing,3447
200004,The Great Gilly Hopkins,Gina Bari Kolata,Wydawn. Adam Marszaek,39
200005,Meine Juden--eure Juden,E. J. W. Barber,Librairie Artheme Fayard,206
200006,You Can Draw a Kangaroo,Amy Tan,Langensch.-Hachette\, M,5296
200007,The Little Drummer Girl,Robert Cowley,Lothrop\, Lee\, &amp; Shepard,1006
200008,A Walk Through the Fire,Scott Turow,Educational Media Corp,8795
200009,The Nursing Home Murder,David Cordingly,Scott Publishing Company,7380
200010,The Blanket of the Dark,Ann Beattie,Granite Publishing\, L.L.C.,5242
200011,Not Without My Daughter,David Adams Richards,Johns Hopkins Univ Pr,567
200012,Introducing Halle Berry,Adam Lebor,Heaven &amp; Earth Publishing,3505
200013,Men Who Love Too Little,Sheila Heti,United States Publishing,6131
200014,Once In a House On Fire,R. J. Kaiser,Bonzobucks &amp; Books Pub,4472
200015,Skindeep (Pan Horizons),Jack Canfield,Concept Technologies,4898
200016,A Voice Through a Cloud,Loren D. Estleman,Brown &amp; Benchmark,8322
200017,Master Georgie: A Novel,Robert Hendrickson,New Falcon Publications,1448
200018,Verdun (Lost Treasures),Julia Oliver,Infinity Publishing.com,7459
200019,Der Pferdefl??sterer.,John Grisham,Greenwood Publishing Group,6335
200020,Snowboarding to Nirvana,Toni Morrison,Small Pr Distribution,8670
200021,Boys and Girls Together,The Onion,Omega Publications (NY),3546
200022,Another Century of War?,Celia Brooks Brown,Biblioteca de Bolsillo,2502
200023,A Book of Weather Clues,J. R. Parrish,O S P Publishing Inc,6066
200024,The Klutz Strikes Again,Mary-Kate &amp; Ashley Olsen,Tudor Publishers Inc,8831
200025,Commitments (Arabesque),Robynn Clairday,Millstone Publishing,2509
200026,The Third Twin: A Novel,Kathleen Duey,Christian Pub. Services,4515
200027,The Dog Who Wouldn't Be,Rich Shapero,Barbour Publishing\, Inc.,6722
200028,Destined for the Throne,Michael Crichton,A &amp; B Book Dist Inc,6842
200029,Year of the Roasted Ear,C.S. Lewis,HillHouse Publishing,8147
200030,The Horned Man: A Novel,ARTHUR PHILLIPS,Scholastic / Cartwheel Books,97
200031,Ensayo Sobre LA Ceguera,Stephan Jaramillo,Anaya Publishers Ltd,8844
200032,Flying High (Arabesque),Mordecai Richler,Pruett Publishing Company,3338
200033,Du entkommst mir nicht.,Eleanor Cooney,Unbounded Publications,3913
200034,Keeping Faith : A Novel,Charlotte Link,Monday Morning Books,1018
200035,The Gift for All People,Richard North Patterson,Cherbo Publishing Group\, Inc.,4918
200036,Deer &amp; deer hunting,Mark Salzman,Back to the Bible Publishing,3657
200037,Trust in Me (Arabesque),Harper Lee,Smithmark+publishers Inc,8015
200038,Gotham Diaries: A Novel,LAURA HILLENBRAND,Liberty House Press Inc,8397
200039,The Book of the Unicorn,Barbara Kingsolver,Sperling &amp; Kupfer,5168
200040,The Multicultiboho Show,Jo Dereske,Hurst &amp; Blackett,7885
200041,Le Poulpe : Zarmageddon,Jane Austen,Immaculate Heart Publications,8188
200042,Trials of Tiffany Trott,Dolores Krieger,Robert Pope Foundation,7012
